state_hash,n_samples,regime,momentum,participation,mean_5d,median_5d,std_5d,min_5d,max_5d,hit_rate_5d,mean_10d,median_10d,std_10d,hit_rate_10d,mean_20d,median_20d,std_20d,hit_rate_20d,avg_mae_5d,median_mae_5d,worst_mae_5d,avg_mfe_5d,median_mfe_5d,best_mfe_5d,avg_mae_20d,avg_mfe_20d,confidence_score,risk_reward_5d,expectancy_5d,edge_class
Rd_Ma_Pd,89,downtrend,accelerating,distribution,2.0342462540183144,1.49974799165496,4.160887395241564,-7.2491663351006705,21.021742544359217,74.15730337078652,2.515085309027597,2.0188721613959264,5.6111886281172705,75.28089887640449,3.915237669450467,3.644050038639512,7.3110374351332466,66.29213483146067,-1.3613998277921928,-0.6492559310175113,-8.276421616574039,3.1463320245813766,1.7268655576514251,22.650241741497425,-3.055955694424885,7.5494535519658985,69.86728344229161,2.31110064828188,1.9814125571140502,strong_bullish
Rr_Mv_Pc,99,range,diverging,confirming,1.158843450346203,1.6613798269748934,3.632337567764829,-8.580285730496259,8.981070763594449,68.68686868686868,1.9060016988419035,2.0479928598717274,6.093097255848928,64.64646464646465,2.162717878993146,2.9763842108786567,8.430181782975136,60.60606060606061,-1.598101534379271,-0.2456024145204756,-9.87736555332462,2.757113504009943,2.290871865140212,8.981070763594449,-4.305655863692271,7.168627466545613,65.13986812789454,1.725243011596789,1.3933593000698856,strong_bullish
Ru_Mc_Pd,114,uptrend,cooling,distribution,1.1639312390515826,1.3276897930723122,3.43904222050629,-5.917375541900753,12.15807063583846,58.77192982456141,1.5994388453501314,0.9188778178812513,4.407663209513893,59.64912280701754,1.1986527674999081,-1.088776155953508,7.185183072383268,46.49122807017544,-1.414332633419485,-0.8059949557684922,-8.88889258261645,2.620424983175924,2.0917206652965374,12.273477135913192,-3.8013364200622424,5.851824579992201,60.48976705719666,1.8527642799561403,0.9569722815971153,bullish
Rd_Mv_Pn,120,downtrend,diverging,neutral,0.8057393222583223,1.108900462438859,3.900566576478484,-14.03662882167716,12.853195015152084,62.5,1.4286334661330997,1.1509301621173456,4.346556427493295,63.33333333333333,2.359132849481668,2.1727912714125406,6.788664027829332,66.66666666666666,-1.694665660787282,-0.649257543718383,-14.03662882167716,2.569985574606553,1.959959161291489,14.736841882799414,-3.3870047995981762,6.248430682518383,53.29510848777993,1.516514811194456,0.9707413613338649,strong_bullish
Rr_Mc_Pc,75,range,cooling,confirming,1.6093668689287783,1.3996159988069867,4.669346673035848,-9.28301907810406,11.708898557475829,62.66666666666667,1.937977113359141,1.2353262694275289,8.615028418798344,56.00000000000001,4.928048431419567,5.660626134307973,11.168088497691931,62.66666666666667,-1.7119006244186865,-0.8334850077207323,-9.28301907810406,3.2276269849897123,1.875805003707896,11.708898557475829,-4.455854626878787,9.90078536266099,53.09321859675214,1.8854055772575724,1.3835366774772437,strong_bullish
Ru_Ma_Pd,229,uptrend,accelerating,distribution,0.7343112616847012,0.665005531886009,3.413405367752641,-7.715520933890476,13.39180368217158,57.20524017467249,1.0921940510900392,0.7257345127510879,5.098637604838584,58.515283842794766,1.6709740044692158,1.7170594256656355,7.861383629098052,55.895196506550214,-1.832431543196542,-1.1658309316554798,-9.674979419952626,2.2983086272797157,1.713721340388007,13.39180368217158,-4.346162511815896,6.324806258761347,51.0809200925951,1.254239830029604,0.5305682923160772,bullish
Rr_Mc_Pa,172,range,cooling,accumulation,0.8888880465250983,0.5879700110219483,4.14696244913882,-9.557937149793474,12.86030118644371,56.97674418604651,1.6998599672987327,1.6523714085666685,6.0542664716318315,64.53488372093024,2.621610975802251,2.5515282061872453,8.325095177236268,59.883720930232556,-1.8022039672046704,-0.8601000443410507,-9.557937149793474,2.5301264412066042,1.544289594650137,13.202723489653936,-3.944764348707725,6.880407476244735,50.859360629472064,1.4039068203423093,0.6662168468901256,bullish
Ru_Mv_Pn,96,uptrend,diverging,neutral,0.8574229733569849,0.0023022846571545477,3.0881071484898746,-6.531087669774398,9.420281919728268,50.0,0.10621071231380723,-0.0851880394224116,5.532029863081783,46.875,0.8076301499994272,0.7731020387217133,7.720568516584605,51.041666666666664,-1.6960522710025916,-0.9702553587911806,-11.26192541196879,2.4057007311461294,1.8078279938255695,9.420281919728268,-4.887328017175141,6.6032436099000975,50.39192671267422,1.4184119040883343,0.3548242300717689,neutral
Ru_Mc_Pa,150,uptrend,cooling,accumulation,-0.700853156674697,-0.5883078814787219,3.584232475482213,-9.68387552496355,11.318191885917727,42.0,-0.48481114549303406,-0.35724068829283084,4.906866601583914,47.333333333333336,0.5274000768864852,0.40803625184443826,6.982652265734536,50.66666666666667,-2.3809099448665894,-1.6035639813346343,-10.615682742411368,1.6974275869992286,1.04850553338312,11.318191885917727,-4.793500657740857,4.62018639962935,49.229504659091916,0.7129322932431791,-0.6680081814829457,bearish
Ru_Mc_Pt,185,uptrend,cooling,thinning,0.8285414648685852,0.747132591754707,4.526799332661356,-14.840164635492336,13.17609506242182,58.37837837837838,0.9775000699453075,0.1107424616700932,6.8234584115328065,51.35135135135135,1.3290506743413186,0.5014145182193865,9.249789122392556,52.43243243243243,-1.990071613029253,-0.8503607017112443,-14.851265195700126,2.761597789015102,1.6406149430776478,13.17609506242182,-4.973338852635538,7.199451898487596,47.70914660338793,1.387687644471972,0.7838759297858299,bullish
Rd_Mv_Pt,119,downtrend,diverging,thinning,0.10926720354816118,0.5632846134863474,4.096847599852755,-18.722499162509347,15.227039991742496,62.18487394957983,-0.6493036439593216,-0.2972181089713517,5.079360643760337,45.378151260504204,0.31653370879280146,1.357448353894617,6.742444791625246,54.621848739495796,-1.9606875548624942,-0.7980395459024627,-18.722499162509347,1.9252301151930538,1.186803455288329,15.227039991742496,-5.115708421256697,4.821056097619734,47.310924369747895,0.9819158133678636,0.4557654500459979,neutral
Ru_Ma_Pt,127,uptrend,accelerating,thinning,1.032616405895051,1.0737713164529037,5.637852145858977,-15.869126945401508,21.62591514630399,56.69291338582677,1.9313311371613777,1.230433701780426,7.851842078443504,56.69291338582677,2.1443917908592205,-0.3345940224540113,11.609848979834736,49.60629921259843,-2.287026784725603,-0.9971466752041502,-18.808189246770915,3.3833116563943815,2.1643740021358258,21.62591514630399,-5.623681844754357,9.288467796718908,46.71687831727628,1.4793493801605433,0.9276532763817896,bullish
Rd_Ma_Pn,117,downtrend,accelerating,neutral,0.22596016163620536,0.9248790562217136,4.622031717957765,-16.059235077743836,11.085600790297482,59.82905982905983,0.7786188203218068,1.5891374458333436,6.3623049890554935,65.8119658119658,-0.5116796458055183,-0.0319983985107032,7.725795153771394,49.572649572649574,-2.3528912036170073,-1.3149588258049196,-16.188185622413005,2.460286555813287,1.7079640692137033,11.085600790297482,-5.187779576510924,5.350283369599427,45.8974358974359,1.0456439940916882,0.5267877977515448,bullish
Rr_Mc_Pd,178,range,cooling,distribution,0.4796978652783285,1.4292540808173717,5.126871427416258,-29.852354638919486,14.510557321042835,59.55056179775281,1.1448728507697195,1.1377102640190877,6.345404386509011,58.42696629213483,3.2381874217387416,2.9147010829637603,7.5712089572055365,67.97752808988764,-2.2628993012646132,-0.9585913052368507,-29.852354638919486,2.443081337480772,1.965762135996112,14.510557321042835,-3.816914311972344,6.212472045417622,45.73033707865169,1.079624416391602,0.53953860720174,bullish
Ru_Ma_Pc,139,uptrend,accelerating,confirming,0.29411448978727606,0.904785328368801,5.7975583351082225,-16.226589578740732,16.39014004018705,58.992805755395686,1.1695570925320438,1.5579887981262297,8.527512334814855,58.992805755395686,1.7601824259815575,0.1292833921134562,12.908108228909853,50.35971223021583,-2.599984083170266,-1.097527873316311,-16.226589578740732,3.3879220942090305,2.823101200986116,16.39014004018705,-6.034132382610672,9.200073327274117,45.39568345323741,1.3030549364279185,0.9324497768664415,bullish
Rd_Mc_Pd,77,downtrend,cooling,distribution,1.4176466072988445,0.2221779391883767,5.151628274046649,-9.109970068977203,26.43374799543504,53.246753246753244,1.9759215125909309,1.4385215047148965,5.511516221621919,70.12987012987013,2.7241515582031255,1.5049395808138812,8.517044014132223,64.93506493506493,-1.647873973011919,-0.9103100468335802,-9.109970068977203,3.2454107251876794,2.1696528031895994,26.43374799543504,-3.2892671399656717,6.6676871331187435,44.578402870760186,1.9694532338876898,0.9576412558995553,asymmetric_bullish
Rd_Ma_Pa,102,downtrend,accelerating,accumulation,0.30468514653031903,0.5691644467107284,4.001361593450889,-9.007317436497088,12.334728038815408,55.88235294117647,-0.2413821176844376,-0.019617764790131602,4.801919601145575,49.01960784313725,0.032761463756409835,-0.4591308397839161,6.890171849191818,49.01960784313725,-2.164272899076403,-1.1930488556862366,-9.940904262274811,2.1667354328128137,1.4073651978563602,16.000005745987604,-4.388089253675904,4.911410650105005,43.529411764705884,1.0011378111038869,0.25599646286168865,bullish
Rr_Ma_Pa,252,range,accelerating,accumulation,0.6419129086770986,0.6287613000295885,3.83470458259197,-11.285516055709694,13.012415910502062,55.55555555555556,1.7560039548532667,2.3610140200873104,5.720828053566803,63.888888888888886,2.562988236409019,2.16973532325008,7.281464996026088,58.730158730158735,-1.7833299387979353,-1.0862950340341135,-11.285516055709694,2.523860441972263,1.8503283338802539,13.012415910502062,-3.6250792772927465,6.783364160962838,43.46398088102939,1.415251539865633,0.609553606074397,bullish
Ru_Mv_Pa,193,uptrend,diverging,accumulation,-0.5446847032567876,-0.7567431861038458,3.629409015361021,-12.97297463414644,8.76288617561453,44.559585492227974,-0.695245829732627,-0.9711279661458369,5.433166291682158,43.523316062176164,-0.24045195886452841,-1.0586302606761562,7.846542364735651,45.07772020725388,-2.325776272359963,-1.6453422515498484,-12.97297463414644,1.9035708905854716,1.0770441584175765,9.061016666581976,-5.416128773334888,5.082402728184279,43.26424870466322,0.818466897787172,-0.4411967075241737,bearish
Rr_Mv_Pt,145,range,diverging,thinning,-0.09522974153385937,-0.5338944548860994,4.633844455153832,-25.569024128291616,13.522612590244526,44.827586206896555,0.2245883797806003,-0.0966931028007454,5.557994911052055,48.275862068965516,1.284764483216749,1.6272887130327558,7.572255953450059,56.55172413793104,-2.3540004329738102,-1.5221006088555362,-25.95991736395158,2.5258224150753636,1.2976647871908198,15.849627023739332,-4.7221027765578505,5.781766912416728,43.103448275862064,1.0729914827944576,-0.16649363902073233,neutral
Rr_Mv_Pa,210,range,diverging,accumulation,0.34999243540570935,0.41646281024290616,3.5048911724011433,-12.459243395501565,10.135242498255788,54.761904761904766,0.9179197097856234,0.9435885565421467,5.747719448249648,57.61904761904761,1.813850795999742,2.666375766665781,7.66202992589887,61.904761904761905,-1.7232550861647835,-1.068228635018218,-12.459243395501565,2.152325718132134,1.515434778830186,11.730745027463604,-4.059549651615517,6.271046416231837,42.85714285714286,1.2489884610886455,0.39908678285495736,neutral
